id,bolts
0x17f6ef86d43b0cedca8a214fa36a961c3c7f5c3e,15380290
0x1df428833f2c9fb1ef098754e5d710432450d706,8514861
0x52f1f12f0cc811e2e08315d85a08a5a5693689a2,3659699
0x3e893426e65cf198d4df266b77cfa46559c815ee,3048291
0xaa15eaa5fac15b47d2b8a695d2f84a44c2b46115,1545094
0x9492510bbcb93b6992d8b7bb67888558e12dcac4,1408061
0x9e07ecd4f5074a2eeac9c42df6508e3ec6373ef3,1240782
0x0272ec6b528511f6d6d10f034df8eab8ec2e6fec,840737
0x139776871ee95f55d20b10d9ba5a0385451066cd,734486
0xe04885c3f1419c6e8495c33bdcf5f8387cd88846,621264
0x57ef2b98306d2c98f2fcebbdd05090c75982af72,527467
0x223c381a3aae44f7e073e66a8295dce2955e0098,450056
0x247b7e245002e6b525782366dec32446f645320d,269201
0x5fdb500ba1d9b6be0c164ce609277cd968c5d45e,230936
0xaeaf20615536f34d95f64fc0faf71e91fd8812c6,203691
0x608303ef39ef3729e289be77343d96e3ceb3bb6a,173137
0xc9b7f062a8fd06ca0af3055a82692d6d55f64232,172909
0x028b2b9adca1bd1263086b0b221713a684968817,156555
0x6604b79b688a2e78414f1b91d9a4f2ee4bd51cf6,151051
0x366bf4c8a1517e2ea6cb5085679742ff92f14b54,142811
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,131001
0xa83eac81093fd03170260c733caaf1722be5342c,130787
0x02077764aa4b88b12a145314d5e8a920c754eae2,119587
0x00002eb28505c1202b8d4beb9f5134f6b67b9d8f,110770
0x566ba67fe980ac4626de61c8c9f90ff569f214ae,101403
0x95e9a0c113aa9931a4230f91ade08a491d3f8d54,90197
0x052d62a6479e3c027afff55385f2ba53ffe8ba58,80841
0xfb44496ef7ce7dc94da1ec9f45115c80bba1778d,79831
0xcf017f65819ce8aa3f980d5a55a913238aab725f,75923
0x2408b89c36c6e9020dd747f3b64ee58f5467c4d3,67304
